mouse1d	mouse1e	mouse1f
0.7986	2.2022	
1.3316	6.4319	
0.4602	7.9628	
1.4088	0.6678	
0.3758	1.3556	
0.6848	1.4367	
3.0377	2.1588	
0.6601	0.7888	
0.8114	8.6214	
1.8362	1.0242	
3.1095	12.4897	
0.9841	6.9826	
1.4641	1.5186	
1.2225	1.2468	
1.1794	0.959	
1.6863	0.7387	
1.0971	0.7274	
0.4251	0.3555	
0.6947	1.4194	
3.8314	5.8615	
0.299	3.5484	
1.6426	2.8362	
3.4714	0.6968	
1.1648	6.9661	
1.8224	3.3567	
1.9277	0.05479	
0.8964	1.9128	
1.5536	1.5251	
2.6255	4.4517	
3.2402	0.3886	
1.1493	1.7973	
1.6799	1.5789	
1.4863	0.81	
1.1362	0.4142	
1.8974	0.3015	
1.6531	7.9647	
0.9868	0.193	
4.0288	0.5118	
0.721	10.5465	
1.176	13.8304	
0.9884	8.2366	
0.208	1.4461	
1.3232	7.9282	
0.6707	7.8214	
1.0542	1.8541	
1.3956	1.8756	
2.6986	1.0699	
1.6229	11.7432	
1.5072		
1.2796		
1.0513		
1.7017		
0.9235		
1.2983		
4.4158		
0.8433		
0.9058		
1.4011		
4.418		
2.5757		
1.7861		
1.1293		
1.7651		
1.406		
1.0392		
2.5786		
1.8747		
0.818		
1.0621		
1.8307		
1.1682		
1.811		
1.5791		
0.9922		
2.1495		
0.8237		
1.123		
2.1595		
1.7419		
2.3855		
2.0663		
1.0283		
4.4377		
2.0516		
1.8702		
1.3178		
0.5976		
2.4367		
1.3728		
1.7271		
1.6691		
3.2154		
2.4534		
2.3904		
2.3089		
2.3446		
1.4804		
0.7343		
2.717		
0.3641		
1.2647		
2.2778		
3.9353		
1.6214		
1.6209		
2.7126		
3.5294		
1.0624		
1.691		
0.6786		
0.9428		
2.3182		
2.6557		
2.1639		
1.0021		
1.8801		
2.395		
1.1717		
1.2549		
0.8819		
2.1125		
0.9113		
1.7146		
1.8442		
2.017		
0.9006		
1.8705		
2.5055		
1.0295		
0.4047		
1.2625		
0.7879		
1.1975		
1.6462		
2.477		
1.045		
2.3344		
0.8722		
0.9336		
0.6611		
0.5411		
2.0593		
1.5459		
3.0484		
3.1465		
0.2537		
2.3203		
0.3648		
3.2784		
0.4651		
1.17		
1.217		
2.6068		
1.2071		
0.8643		
0.6949		
2.4959		
3.5307		
1.7045		
1.9628		
0.229		
0.2329		
2.2661		
1.204		
1.7683		
1.0108		
1.2979		
1.1949		
1.4541		
1.1446		
0.7704		
2.4966		
0.1756		
1.178		
2.0911		
0.8778		
0.981		
0.7406		
1.3666		
0.8044		

