eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
2.1354	0.3325	8.7256	4.5575	13.9972	0.9986	0.1628	2.3474	4912.057904	1623.859775	2014.784506	1268.179372	52.6456	3.5634	28.3617	4.516
0.9762	0.3292	6.4676	8.9649	10.8312	1.8931	4.0316	2.3951	2586.862967	778.3274221	2739.590886	775.2699555	52.91	1.9133	29.2044	3.6324
0.9824	0.4496	7.0068	9.6717	6.9808	1.0799	1.9078	0.8762	442.8509027	1432.153752	2116.588419	852.688172	20.5855	1.9073	28.2899	3.6733
0.6595	0.8148	6.1318	5.8069	18.8852	1.1518	1.9542	1.2264	2656.339166	778.513146	1881.191136	5453.836634	52.8817	3.9305	25.4944	7.2266
0.1445	0.1179	12.1025	30.2424	11.6837	0.7407	2.4959	2.5101	712.2228381	3682.538985	2621.428571	1669.592326	67.2877	3.461	31.9832	4.5017
0.6494	1.7064	6.601	5.5238	17.0538	4.4408	4.3903	2.1883	800.2009646	3938.508171	3799.355556	1675.904589	49.8604	1.4952	36.1017	4.9548
2.1786	0.4158	10.306	9.0719	1.7634	0.3297	3.9272	3.3027	967.0799161	3636.732974	954.385089	3457.945261	56.6984	2.3171	27.3705	7.8163
0.2661	3.4671	9.5503	10.9212	6.5808	3.4994	5.1648	2.0252	2028.521192	4005.313869	2832.819838	965.0936186	37.9056	2.5925	32.947	4.0774
1.052	0.8667	6.3326	8.9724	0.7539	1.8515	2.1292	2.2669	3232.804995	4492.512821	3545.26749	758.7719298	54.99	2.6285	30.9704	2.827
3.0698	0.5093	8.8319	9.1818	4.9809	2.2566	0.03403	0.9457	3580.921206	2438.573913	1734.858981	1700.770755	20.6644	0.7398	29.2982	1.6843
0.2544	0.9827	6.982	5.0092	2.3067	1.2072	3.7653	2.129	3786.683057	4994.475011	1224.830076	1954.496973	24.2746	1.0249	26.0765	3.2081
0.6348	0.1308	12.2336	4.8112	9.4585	2.599	2.082	1.0448	2841.982434	4398.818032	2423.579767	1607.312466	60.651	2.0017	31.2623	5.6384
0.3889	0.6613	8.4251	10.8982	1.5957	1.2624	0.4659	3.4078	1780.099764	4242.652959	1886.783547	2741.399417	36.4302	1.1898	38.8663	4.3721
0.985	0.8234	10.258	10.8179	37.2357	3.4944	2.8596	3.211	1178.009723	1610.327784	2171.59309	1630.212014	54.7923	0.9334	31.6461	1.5802
0.6825	1.4646	9.6593	5.4319	0.6494	2.7711	1.9829	5.8958	522.1815222	2214.618974	1407.523328	2066.548501	55.7127	6.6325	25.8787	5.2969
0.1928	0.9027	10.0277	6.8207	9.2535	0.9888	3.291	3.306	289.4326379	1717.075366	1916.303295	2106.886819	61.5959	1.395	37.106	1.9908
0.7797	0.8604	9.0235	6.6416	14.8546	3.784	3.2291	1.5795	277.6675538	1934.733158	5370.916539	2526.688572	55.539	1.5526	30.0551	1.9282
0.5588	1.6187	8.8931	5.3087	17.9952	2.4705	3.9315	1.7158	4963.921921	2009.198813	3651.102589	2268.98263	45.82	3.176	30.9066	4.1237
0.2941	0.5986	12.2582	7.504	0.8404	4.0107	4.9939	1.1496	4238.01054	1689.731051	1447.505482	4202.858002	59.5401	0.2782	30.4126	2.7816
